一不小心	yrt brt siu srm
额菲尔士	jak fei yi si
额菲尔士峰	jak fei yi si fuj
额叶	jak yip
额角	jak gok
额头	jak tru
额骨	jak gurt
颚裂	jok lit
颚部	jok bou
颚龈音	jok jrn yrm
颜厚	jan hru
颜厚有忸怩	jan hru yru nuk nei
颜回	jan wui
颜射	jan se
颜料	jan liu
颜渊	jan yvn
颜真卿	jan zrn hij
颜面	jan min
颜面扫地	jan min sou dei
颜体	jan tri
颛顼	zvn yuk
愿心	yvn srm
愿意	yvn yi
愿景	yvn gij
愿望	yvn moj
愿闻其详	yvn mrn kei cxj
愿赌服输	yvn dou fuk sv
颠三倒四	din sam dou sei
颠来倒去	din loi dou hxi
颠倒	din dou
颠倒是非	din dou si fei
颠倒过来	din dou guo loi
颠倒黑白	din dou hrk bak
颠儿面	din yi min
颠扑不破	din pok brt po
颠沛	din pui
颠沛流离	din pui lru lei
颠狂	din quoj
颠簸	din bo
颠茄	din ke
颠覆	din fuk
颠覆分子	din fuk frn zi
颠覆国家罪	din fuk guok ga zxi
颠覆政府罪	din fuk zij fu zxi
颠覆罪	din fuk zxi
颠踣	din bak
颠连	din lin
颠颠	din din
颠鸾倒凤	din lvn dou fuj
类人猿	lxi yrn yvn
类似	lxi ci
类似点	lxi ci dim
类别	lxi bit
类固醇	lxi gu sxn
类地行星	lxi dei hrj sij
类属词典	lxi suk ci din
类推	lxi txi
类星体	lxi sij tri
类书	lxi sv
类木行星	lxi muk hrj sij
类毒素	lxi duk sou
类比	lxi bei
类比策略	lxi bei cak lxk
类乌齐	lxi wu cri
类乌齐县	lxi wu cri yvn
类球面	lxi kru min
类篇	lxi pin
类精神分裂型人格违常	lxi zij srn frn lit yij yrn gak wri sxj
类语辞典	lxi yv ci din
类金属	lxi grm suk
类风湿因子	lxi fuj srp yrn zi
类鼻疽	lxi bei zxi
类鼻疽单细胞	lxi bei zxi dan sri bau
顾不上	gu brt sxj
顾不得	gu brt drk
顾全	gu cvn
顾全大局	gu cvn dai guk
顾名思义	gu mij si yi
顾问	gu mrn
顾客	gu hak
顾客至上	gu hak zi sxj
顾影自怜	gu yij zi lin
顾忌	gu gei
顾念	gu nim
顾惜	gu sik
顾恺之	gu hoi zi
顾虑	gu lxi
顾此失彼	gu ci srt bei
顾炎武	gu yim mou
顾盼自雄	gu pan zi huj
顾眄	gu min
顾野王	gu ye woj
颤动	zin duj
颤巍巍	zin jri jri
颤巍	zin jri
颤抖	zin dru
颤抖不已	zin dru brt yi
颤声	zin sij
颤音	zin yrm
显像	hin zxj
显像管	hin zxj gun
显出	hin cxt
显卡	hin kat
显学	hin hok
显宦	hin wan
显山露水	hin san lou sxi
显弄	hin luj
显形	hin yij
显影	hin yij
显影剂	hin yij zri
显得	hin drk
显微	hin mei
显微学	hin mei hok
显微镜	hin mei gej
显微镜座	hin mei gej zo
显微镜载片	hin mei gej zoi pin
显性	hin sij
显性基因	hin sij gei yrn
显怀	hin wai
显扬	hin yxj
显摆	hin bai
显白	hin bak
显效	hin hau
显明	hin mij
显晦	hin fui
显晶	hin zij
显焓	hin hrm
显现	hin yin
显生代	hin srj doi
显生宙	hin srj zru
显目	hin muk
显眼	hin jan
显示	hin si
显示卡	hin si kat
显示器	hin si hei
显示屏	hin si pij
显示板	hin si ban
显祖	hin zou
显耀	hin yiu
显老	hin lou
显考	hin hau
显而易见	hin yi yi gin
显职	hin zik
显花植物	hin fa zik mrt
显著	hin zv
显要	hin yiu
显见	hin gin
显豁	hin kut
显贵	hin guri
显赫人物	hin hak yrn mrt
显达	hin dat
显镜	hin gej
显露	hin lou
显露出	hin lou cxt
颦眉	prn mei
颅底	lou dri
颅测量	lou cak lxj
颅骨	lou gurt
颞叶	nip yip
颞颥	nip yv
颞骨	nip gurt
颧弓	kvn guj
颧骨	kvn gurt
风中之烛	fuj zuj zi zuk
风中烛，瓦上霜	fuj zuj zuk, ja sxj sxj
风干	fuj gon
风信子	fuj sxn zi
风传	fuj cvn
风光	fuj guoj
风切变	fuj cit bin
风力	fuj lik
风力水车	fuj lik sxi ce
风力发电厂	fuj lik fat din coj
风化	fuj fa
风化作用	fuj fa zok yuj
风口	fuj hru
风口浪尖	fuj hru loj zim
风向	fuj hxj
风向标	fuj hxj biu
风吹雨打	fuj cxi yv da
风味	fuj mei
风和日暄	fuj wo yrt hvn
风和日暖	fuj wo yrt nvn
风和日丽	fuj wo yrt lri
风圈	fuj hvn
风土	fuj tou
风土人情	fuj tou yrn cij
风城	fuj sij
风尘	fuj crn
风尘仆仆	fuj crn buk buk
风姿	fuj zi
风姿绰约	fuj zi cxk yxk
风寒	fuj hon
风尚	fuj sxj
风帆	fuj fan
风平浪静	fuj pij loj zij
风度	fuj dou
风恬浪静	fuj tim loj zij
风情	fuj cij
风成	fuj sij
风扇	fuj sin
风挡	fuj doj
风景	fuj gij
风暴	fuj bou
风暴潮	fuj bou ciu
风月	fuj yvt
风格	fuj gak
风标	fuj biu
风机	fuj gei
风档玻璃	fuj doj bo lei
风气	fuj hei
风水	fuj sxi
风水先生	fuj sxi sin saj
风水轮流	fuj sxi lxn lru
风水轮流转	fuj sxi lxn lru zvn
风沙	fuj sa
风油精	fuj yru zij
风波	fuj bo
风波不断	fuj bo brt dvn
风洞	fuj duj
风流	fuj lru
风流佳话	fuj lru gai wa
风流债	fuj lru zai
风流云散	fuj lru wrn san
风流韵事	fuj lru wrn si
风浪	fuj loj
风凉话	fuj lxj wa
风泼	fuj put
风潮	fuj ciu
风湿	fuj srp
风湿性关节炎	fuj srp sij guan zit yim
风湿热	fuj srp yit
风湿关节炎	fuj srp guan zit yim
风灾	fuj zoi
风烛残年	fuj zuk can nin
风物	fuj mrt
风琴	fuj krm
风疹	fuj crn
风瘫	fuj tan
疯瘫	fuj tan
风穴	fuj yvt
风窗	fuj cxj
风笛	fuj dek
风筝	fuj zrj
风箱	fuj sxj
风范	fuj fan
风闻	fuj mrn
风声	fuj sij
风声紧	fuj sij grn
风声鹤唳	fuj sij hok lxi
风能	fuj nrj
风致	fuj zi
风花雪月	fuj fa svt yvt
风华	fuj wa
风华正茂	fuj wa zij mru
风华绝代	fuj wa zvt doi
风蚀	fuj sik
风行	fuj hrj
风行一时	fuj hrj yrt si
风衣	fuj yi
风调	fuj diu
风调雨顺	fuj tiu yv sxn
风貌	fuj mau
风起潮涌	fuj hei ciu yuj
风起云涌	fuj hei wrn yuj
风趣	fuj cxi
风车	fuj ce
风速	fuj cuk
风速计	fuj cuk gri
风邪	fuj ce
丰采	fuj coi
风镜	fuj gej
风钻	fuj zvn
风阻尼器	fuj zo nei hei
风险	fuj him
风险估计	fuj him gu gri
风险投资	fuj him tru zi
风险管理	fuj him gun lei
风雨	fuj yv
风雨同舟	fuj yv tuj zru
风雨如晦	fuj yv yv fui
风雨晦冥	fuj yv fui mij
风雨欲来	fuj yv yuk loi
风雨凄凄	fuj yv cri cri
风雨漂摇	fuj yv piu yiu
风雨无阻	fuj yv mou zo
风雨飘摇	fuj yv piu yiu
风云	fuj wrn
风云人物	fuj wrn yrn mrt
风云变幻	fuj wrn bin wan
风电厂	fuj din coj
风霜	fuj sxj
风靡	fuj mei
风靡一时	fuj mei yrt si
风韵	fuj wrn
风头	fuj tru
风风火火	fuj fuj fo fo
风马旗	fuj ma kei
风马牛不相及	fuj ma jru brt sxj krp
风驰电掣	fuj ci din zri
风骨	fuj gurt
飐飐	zim zim
飒然	sap yin
飒爽	sap soj
飒飒	sap sap
刮风	guat fuj
飕飕	sru sru
飘动	piu duj
飘卷	piu gvn
飘尘	piu crn
飘带	piu dai
飘忽	piu frt
飘忽不定	piu frt brt dij
飘拂	piu frt
飘扬	piu yxj
飘摇	piu yiu
飘飖	piu yiu
飘散	piu san
飘浮	piu fru
飘海	piu hoi
飘渺	piu miu
缥渺	piu miu
缥缈	piu miu
飘缈	piu miu
飘洒	piu sa
飘然	piu yin
漂荡	piu doj
飘移	piu yi
飘举	piu gxi
飘舞	piu mou
飘落	piu lok
飘蓬	piu puj
飘逸	piu yrt
飘零	piu lij
漂零	piu lij
飘风	piu fuj
飘飘	piu piu
飘飘然	piu piu yin
飙升	biu sij
飙口水	biu hru sxi
飙汗	biu hon
飙涨	biu zxj
飙车	biu ce
飙风	biu fuj
飞来横祸	fei loi waj wo
飞来飞去	fei loi fei hxi
飞出	fei cxt
飞出个未来	fei cxt go mei loi
飞刀	fei dou
飞利浦	fei lei pou
飞升	fei sij
飞吻	fei mrn
飞地	fei dei
飞天	fei tin
飞奔	fei brn
飞将军	fei zxj gurn
飞弹	fei dan
飞征	fei zij
飞快	fei fai
飞扬	fei yxj
飞扬跋扈	fei yxj brt wu
飞机	fei gei
飞机场	fei gei cxj
飞机失事	fei gei srt si
飞机师	fei gei si
飞机票	fei gei piu
飞机舱门	fei gei coj mun
飞机餐	fei gei can
飞檐走壁	fei yim zru bik
飞沫	fei mut
飞沫传染	fei mut cvn yim
飞沫四溅	fei mut sei zin
飞涨	fei zxj
飞溅	fei zin
飞盘	fei pun
飞短流长	fei dvn lru cxj
蜚短流长	fei dvn lru cxj
飞碟	fei dip
飞禽	fei krm
飞禽走兽	fei krm zru sru
飞秒	fei miu
飞红	fei huj
飞腿	fei txi
飞舞	fei mou
飞舟	fei zru
飞船	fei svn
飞艇	fei tej
飞虎队	fei fu dxi
飞蚊症	fei mrn zij
飞蛾	fei jo
飞蛾投火	fei jo tru fo
飞蛾扑火	fei jo pok fo
飞蝗	fei woj
飞虫	fei cuj
飞行	fei hrj
飞行员	fei hrj yvn
飞行甲板	fei hrj gap ban
飞行记录	fei hrj gei luk
飞行记录仪	fei hrj gei luk yi
飞行记录器	fei hrj gei luk hei
飞觥走斝	fei gurj zru ga
飞贼	fei cak
飞越	fei yvt
飞跑	fei pau
飞跃	fei yxk
飞跃道	fei yxk dou
飞身	fei srn
飞身翻腾	fei srn fan trj
飞轮	fei lxn
飞轮海	fei lxn hoi
飞转	fei zvn
飞逝	fei sri
飞速	fei cuk
飞过	fei guo
飞针走线	fei zrm zru sin
飞镖	fei biu
飞雪	fei svt
飞马	fei ma
飞马座	fei ma zo
飞驰	fei ci
飞鱼	fei yv
飞鱼座	fei yv zo
飞鱼族	fei yv zuk
飞鸟	fei niu
飞鸟时代	fei niu si doi
飞鸽	fei gap
飞鹰	fei yij
飞鹰走马	fei yij zru ma
飞黄腾达	fei woj trj dat
飞鼠	fei sv
飞龙	fei luj
食不厌精，脍不厌细	sik brt yim zij ，kui brt yim sri
食不果腹	sik brt guo fuk
食不知味	sik brt zi mei
食之无味，弃之可惜	sik zi mou mei ，hei zi ho sik
食之无味，弃之不甘	sik zi mou mei, hei zi brt grm
食人	sik yrn
食人俗	sik yrn zuk
食人鲨	sik yrn sa
食俸	sik fuj
食具	sik gxi
食古不化	sik gu brt fa
食品	sik brn
食品加工机	sik brn ga guj gei
食品摊	sik brn tan
食品药品监督局	sik brn yxk brn gam duk guk
食品药品监督管理局	sik brn yxk brn gam duk gun lei guk
食季	sik guri
食客	sik hak
食宿	sik suk
食欲	sik yuk
食指	sik zi
食料	sik liu
食槽	sik cou
食油	sik yru
食法	sik fat
食火鸡	sik fo gri
食物	sik mrt
食物中毒	sik mrt zuj duk
食物及药品管理局	sik mrt krp yxk brn gun lei guk
食物房	sik mrt foj
食物柜	sik mrt guri
食物油	sik mrt yru
食物链	sik mrt lin
食玉炊桂	sik yuk cxi guri
食用	sik yuj
食疗	sik liu
食禄	sik luk
食管	sik gun
食粮	sik lxj
食肆	sik si
食肉	sik yuk
食肉动物	sik yuk duj mrt
食肉寝皮	sik yuk crm pei
食肉目	sik yuk muk
食肉类	sik yuk lxi
食腐动物	sik fu duj mrt
食色	sik sik
食色性也	sik sik sij ya
食草动物	sik cou duj mrt
食荼卧棘	sik tou jo gik
食菌	sik qurn
食虫植物	sik cuj zik mrt
食虫目	sik cuj muk
食蚁兽	sik jri sru
食补	sik bou
食言	sik yin
食言而肥	sik yin yi fei
食谱	sik pou
食道	sik dou
食道癌	sik dou jam
食醋	sik cou
食量	sik lxj
食顷	sik kij
食盐	sik yim
饥不择食	gei brt zak sik
饥寒交迫	gei hon gau bik
饥渴	gei hot
饥肠辘辘	gei cxj luk luk
饫甘餍肥	yv grm yim fei
饭堂	fan toj
饭局	fan guk
饭岛柳莺	fan dou lru rj
饭店	fan dim
饭厅	fan tej
饭后一支烟，赛过活神仙	fan hru yrt zi yin ，coi guo wut srn sin
饭后服用	fan hru fuk yuj
饭后百步走，活到九十九	fan hru bak bou zru ，wut dou gru srp gru
饭托	fan tok
饭替	fan tri
饭桌	fan cxk
饭盆	fan pun
饭碗	fan wun
饭糗茹草	fan yru yv cou
饭庄	fan zoj
饭菜	fan coi
饭类	fan lxi
饭食	fan sik
饭馆	fan gun
饭馆儿	fan gun yi
饭餸	fan suj
饮宴	yrm yin
饮恨	yrm hrn
饮恨吞声	yrm hrn trn sij
饮料	yrm liu
饮水	yrm sxi
饮水器	yrm sxi hei
饮水思源	yrm sxi si yvn
饮水机	yrm sxi gei
饮流怀源	yrm lru wai yvn
饮用	yrm yuj
饮用水	yrm yuj sxi
饮酒	yrm zru
饮酒作乐	yrm zru zok lok
饮酒驾车	yrm zru ga ce
饮食	yrm sik
饮食疗养	yrm sik liu yxj
饴糖	yi toj
饲料	zi liu
饲槽	zi cou
饲育	zi yuk
饲草	zi cou
饲养	zi yxj
饲养员	zi yxj yvn
饲养场	zi yxj cxj
饲养业	zi yxj yip
饲养者	zi yxj ze
饱人不知饿人饥	bau yrn brt zi jo yrn gei
饱以老拳	bau yi lou kvn
饱受	bau sru
饱含	bau hrm
饱和	bau wo
饱和脂肪	bau wo zi foj
饱和脂肪酸	bau wo zi foj svn
饱嗝儿	bau gak yi
饱尝	bau sxj
饱学	bau hok
饱暖思淫欲，饥寒起盗心	bau nvn si yrm yuk, gei hon hei dou srm
饱满	bau mun
饱汉不知饿汉饥	bau hon brt zi jo hon gei
饱眼福	bau jan fuk
饱私囊	bau si noj
饱经忧患	bau gij yru wan
饱经沧桑	bau gij coj soj
饱经风霜	bau gij fuj sxj
饱绽	bau zan
饱览	bau lam
饱读	bau duk
饱足	bau zuk
饱食终日	bau sik zuj yrt
饱食终日，无所用心	bau sik zuj yrt ，mou so yuj srm
饱餐	bau can
饱餐一顿	bau can yrt dxn
饱餐战饭	bau can zin fan
饰品	sik brn
饰巾	sik grn
饰带	sik dai
饰演	sik yin
饰物	sik mrt
饰胸鹬	sik huj wrt
饰词	sik ci
饰边	sik bin
饰钉	sik dej
饰面	sik min
饺子	gau zi
饺子馆	gau zi gun
饺饵	gau nei
饸饹	gap lok
饼干	bej gon
饼图	bej tou
饼型图	bej yij tou
饼子	bej zi
饼状图	bej zoj tou
饼肥	bej fei
饼铛	bej caj
饼饵	bej nei
养伤	yxj sxj
养儿防老	yxj yi foj lou
养兵	yxj bij
养兵千日，用兵一时	yxj bij cin yrt ，yuj bij yrt si
养兵千日，用在一时	yxj bij cin yrt, yuj zoi yrt si
养兵千日，用在一朝	yxj bij cin yrt ，yuj zoi yrt ziu
养分	yxj frn
养地	yxj dei
养女	yxj nxi
养子	yxj zi
养家	yxj ga
养家活口	yxj ga wut hru
养家糊口	yxj ga wu hru
养廉	yxj lim
养性	yxj sij
养成	yxj sij
养料	yxj liu
养乐多	yxj lok do
养殖业	yxj zik yip
养母	yxj mou
养活	yxj wut
养汉	yxj hon
养父	yxj fu
养生	yxj srj
养生之道	yxj srj zi dou
养生法	yxj srj fat
养生送死	yxj srj suj sei
养病	yxj bej
养痈贻患	yxj yuj yi wan
养痈遗患	yxj yuj wri wan
养眼	yxj jan
养神	yxj srn
养精蓄锐	yxj zij cuk yxi
养羊	yxj yxj
养老保险	yxj lou bou him
养老送终	yxj lou suj zuj
养老金	yxj lou grm
养老金双轨制	yxj lou grm sxj guri zri
退休金双轨制	txi yru grm sxj guri zri
养老院	yxj lou yvn
养育	yxj yuk
养花	yxj fa
养虎伤身	yxj fu sxj srn
养虎为患	yxj fu wri wan
养虎遗患	yxj fu wri wan
养蜂	yxj fuj
养蜂人	yxj fuj yrn
养蜂业	yxj fuj yip
养蚕	yxj cam
养蚕业	yxj cam yip
养护	yxj wu
养路费	yxj lou fri
养鸡场	yxj gri cxj
养颜	yxj jan
养鱼池	yxj yv ci
养鱼缸	yxj yv goj
饵子	nei zi
饵敌	nei dik
饵线	nei sin
饵诱	nei yru
饵雷	nei lxi
餐具	can gxi
餐刀	can dou
餐室	can srt
餐巾	can grn
餐巾纸	can grn zi
餐厅	can tej
餐会	can wui
餐末甜酒	can mut tim zru
餐桌	can cxk
餐桌转盘	can cxk zvn pun
餐桌盐	can cxk yim
餐牌	can pai
餐车	can ce
餐饮	can yrm
餐饮店	can yrm dim
餐馆	can gun
餐点	can dim
饽饽	but but
饿死	jo sei
饿殍	jo piu
饿殍载道	jo piu zoi dou
饿肚子	jo tou zi
饿莩	jo piu
饿莩载道	jo piu zoi dou
饿莩遍野	jo piu pin ye
饿鬼	jo guri
哺子	bou zi
馂馅	zxn ham
余下	yv ha
余光	yv guoj
余切	yv cit
余剩	yv sij
余割	yv got
余力	yv lik
余勇可贾	yv yuj ho gu
余地	yv dei
余姚	yv yiu
余姚市	yv yiu si
余存	yv cvn
余孽	yv yip
余干	yv gon
余干县	yv gon yvn
余年	yv nin
余弦	yv yin
余弧	yv wu
余怒	yv nou
余怒未息	yv nou mei sik
余悸	yv guri
余庆	yv hij
余庆县	yv hij yvn
余数	yv sou
余数定理	yv sou dij lei
余晖	yv fri
余辉	yv fri
余杭	yv hoj
余杭区	yv hoj kxi
余江	yv goj
余江县	yv goj yvn
余波	yv bo
余热	yv yit
余烬	yv zxn
余甘子	yv grm zi
庵摩勒	rm mo lrk
庵摩落迦果	rm mo lrk ga guo
余留	yv lru
余留事务	yv lru si mou
余留无符号数	yv lru mou fu hou sou
余皇	yv woj
余码	yv ma
余粮	yv lxj
余绪	yv sxi
余缺	yv kvt
余者	yv ze
余角	yv gok
余量	yv lxj
余钱	yv cin
余集	yv zap
余震	yv zrn
余音	yv yrm
余音绕梁	yv yrm yiu lxj
余韵	yv wrn
余响绕梁	yv hxj yiu lxj
余项	yv hoj
余额	yv jak
余党	yv doj
馄炖	wrn drn
饯别	zin bit
饯行	zin hrj
馅儿	ham yi
馅饼	ham bej
馅儿饼	ham yi bej
馆地	gun dei
馆子	gun zi
馆藏	gun coj
馆宾	gun brn
馆陶	gun tou
馆陶县	gun tou yvn
喂哺	wri bou
喂料	wri liu
喂母乳	wri mou yv
喂食	wri sik
喂养	wri yxj
馏分	lru frn
馊主意	sru zv yi
馊臭	suk cru
馍馍	mo mo
馒头	man tru
馓子	san zi
馈赠	guri zrj
馈送	guri suj
饥馑荐臻	gei grn zin zxn
饶了	yiu liu
饶命	yiu mej
饶平	yiu pij
饶平县	yiu pij yvn
饶恕	yiu sv
饶有	yiu yru
饶有兴趣	yiu yru hij cxi
饶有风趣	yiu yru fuj cxi
饶河	yiu ho
饶河县	yiu ho yvn
饶舌	yiu sit
饶舌调唇	yiu sit tiu sxn
饶舌音乐	yiu sit yrm jok
饶过	yiu guo
饶阳	yiu yxj
饶阳县	yiu yxj yvn
饔飧	yuj svn
饔饩	yuj hei
饕客	tou hak
饕餮	tou tit
饕餮之徒	tou tit zi tou
饕餮大餐	tou tit dai can
饕餮纹	tou tit mrn
飨以闭门羹	hxj yi bri mun grj
飨客	hxj hak
飨宴	hxj yin
飨饮	hxj yrm
馋人	cam yrn
馋嘴	cam zxi
馋嘴蛙	cam zxi wa
馋涎欲滴	cam yin yuk dik
馋涎欲垂	cam yin yuk sxi
馋痨	cam lou
馋言	cam yin
馋鬼	cam guri
馕嗓	noj soj
馕糟	noj zou
馕糠	noj hoj
首付	sru fu
首付款	sru fu fun
首任	sru yrm
首位	sru wri
首例	sru lri
首倡	sru cxj
首先	sru sin
首创	sru coj
首创者	sru coj ze
首善之区	sru sin zi kxi
首字母	sru zi mou
首字母拚音词	sru zi mou pij yrm ci
首字母缩写	sru zi mou suk se
首季	sru guri
首家	sru ga
首富	sru fu
首尾	sru mei
首尾相接	sru mei sxj zip
首尾音	sru mei yrm
首届	sru gai
首屈一指	sru wrt yrt zi
首层	sru crj
首席	sru zik
首席代表	sru zik doi biu
首席信息官	sru zik sxn sik gun
首席执行官	sru zik zrp hrj gun
首席大法官	sru zik dai fat gun
首席技术官	sru zik gei sxt gun
首席法官	sru zik fat gun
首席营销官	sru zik yij siu gun
首席财务官	sru zik coi mou gun
首席运营官	sru zik wrn yij gun
首府	sru fu
首度	sru dou
首推	sru txi
首日封	sru yrt fuj
首映	sru yij
首映式	sru yij sik
首次	sru ci
首次公开招股	sru ci guj hoi ziu gu
首次注视时间	sru ci zv si si gan
首款	sru fun
首演	sru yin
首尔	sru yi
首尔国立大学	sru yi guok lap dai hok
首尔市	sru yi si
首尔特别市	sru yi drk bit si
首发	sru fat
首相	sru sxj
首级	sru krp
首县	sru yvn
首脑	sru nou
首脑会晤	sru nou wui j
首脑会谈	sru nou wui tam
首脑会议	sru nou wui yi
首要	sru yiu
首要任务	sru yiu yrm mou
首轮	sru lxn
首办	sru ban
首选	sru svn
首邑	sru yrp
首都	sru dou
首都剧场	sru dou kek cxj
首都国际机场	sru dou guok zri gei cxj
首都机场	sru dou gei cxj
首都经济贸易大学	sru dou gij zri mru yik dai hok
首都经贸大学	sru dou gij mru dai hok
首都领地	sru dou lij dei
首重	sru zuj
首长	sru zxj
首音	sru yrm
首页	sru yip
首领	sru lij
首饰	sru sik
香干	hxj gon
香几	hxj gei
香包	hxj bau
香口胶	hxj hru gau
香吻	hxj mrn
香味	hxj mei
香味扑鼻	hxj mei pok bei
喷喷香	prn prn hxj
香囊	hxj noj
香坊	hxj foj
香坊区	hxj foj kxi
香奈儿	hxj noi yi
香娇玉嫩	hxj giu yuk nvn
香子兰	hxj zi lan
香客	hxj hak
香山	hxj san
香山区	hxj san kxi
香巢	hxj cau
香料	hxj liu
香会	hxj wui
香木	hxj muk
香根草	hxj grn cou
香格里拉	hxj gak lei lai
香格里拉县	hxj gak lei lai yvn
香案	hxj on
香椿	hxj cxn
香榭丽舍	hxj ze lri se
香榭丽舍大街	hxj ze lri se dai gai
香橙	hxj caj
香槟	hxj brn
香槟酒	hxj brn zru
香橼	hxj yvn
香水	hxj sxi
香河	hxj ho
香河县	hxj ho yvn
香泡树	hxj pau sv
香波	hxj bo
香洲	hxj zru
香洲区	hxj zru kxi
香液	hxj yik
香港	hxj goj
香港中文大学	hxj goj zuj mrn dai hok
香港交易所	hxj goj gau yik so
香港人	hxj goj yrn
香港大学	hxj goj dai hok
香港岛	hxj goj dou
香港工会联合会	hxj goj guj wui lvn hrp wui
香港文化中心	hxj goj mrn fa zuj srm
香港湿地公园	hxj goj srp dei guj yvn
香港理工大学	hxj goj lei guj dai hok
香港科技大学	hxj goj fo gei dai hok
香港红十字会	hxj goj huj srp zi wui
香港脚	hxj goj gxk
香港警察	hxj goj gij cat
